"";"data_coleta_dados";"site_coleta";"comite";"n_ugrhi";"nome_reuniao";"data_reuniao";"data_postagem";"numero_link";"url_link"
"1531";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2001 do CBH-TB";2001-02-02;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/156/ata-1-ordinaria-2001-1.htm"
"1532";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2001 do CBH-TB";2001-02-02;2003-07-24;"ata_3";"http://www.sigrh.sp.gov.br/public/uploads/records/156/ata-1-ordinaria-2001.htm"
"1533";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinaria 2000 do CBH-TB";2000-08-11;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/173/ata-2-ordinaria-2000.htm"
"1534";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Republicação da Ata da 1ª Reunião Ordinária de 2000 do CBH-TB";2000-04-14;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/546/republicacao-ata-1-ordinaria-2000.htm"
"1535";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Extraordinária de 2000 do CBH-TB";2000-04-14;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/148/ata-1-extraordinaria-2000.htm"
"1536";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2000 do CBH-TB";2000-02-18;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/155/ata-1-ordinaria-2000-0.htm"
"1537";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2000 do CBH-TB";2000-02-18;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/155/ata-1-ordinaria-2000-1.htm"
"1538";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2000 do CBH-TB";2000-02-18;2003-07-24;"ata_3";"http://www.sigrh.sp.gov.br/public/uploads/records/155/ata-1-ordinaria-2000.htm"
"1539";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 1999 do CBH-TB";1999-07-30;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/172/ata-2-ordinaria-1999.htm"
"1540";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 1999 do CBH-TB";1999-03-26;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/154/ata-1-ordinaria-1999.htm"
"1541";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 4ª Reunião Ordinária de 1998 do CBH-TB";1998-11-25;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/192/ata-4-ordinaria-1998.htm"
"1542";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Extraordinária de 1998 do CBH-TB";1998-05-22;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/147/ata-1-extraordinaria-1998.htm"
"1543";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 1998 do CBH-TB";1998-04-24;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/171/ata-2-ordinaria-1998-0.htm"
"1544";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 1998 do CBH-TB";1998-04-24;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/171/ata-2-ordinaria-1998.htm"
"1545";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 1998 do CBH-TB";1998-02-13;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/153/ata-1-ordinaria-1998.htm"
"1546";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 1997 do CBH-TB";1997-07-19;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/170/ata-2-ordinaria-1997-0.htm"
"1547";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 1997 do CBH-TB";1997-07-19;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/170/ata-2-ordinaria-1997.htm"
"1548";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 1997 do CBH-TB";1997-03-06;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/152/ata-1-ordinaria-1997.htm"
"1549";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 1996 do CBH-TB";1996-12-12;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/151/ata-1-ordinaria-1996-0.htm"
"1550";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 1996 do CBH-TB";1996-12-12;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/151/ata-1-ordinaria-1996.htm"
"1551";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da Assembléia de Posse do CBH-TB";1996-09-13;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/197/ata-assembleia-e-posse.htm"
"1552";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"Ata da 41ª Reunião Ordinária do CBH-MP";2019-11-04;2020-07-31;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/18970/ata_41_ord_4_nov_mp_marilia.pdf"
"1553";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"Ata da 36ª Reunião Extraordinária do CBH-MP";2019-09-13;2019-11-20;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/18571/ata_36_ext_13_set_mp_maracai.pdf"
